Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Status
hinoki-low-sofa,Hinoki Low Sofa,<p>A low hinoki frame with calm linen cushions and soft edges.</p><p>W 210 × D 92 × H 72 cm</p>,OpenRoom,Sofa,"Sofa, Hinoki and linen, Natural cream, Japandi, Light wood, Low profile",TRUE,Title,Default Title,hinoki-low-sofa,continue,manual,1899.00,TRUE,TRUE,https://openroom-webmcp.pages.dev/demo/photo/products/hinoki-low-sofa.webp,Hinoki Low Sofa,active
boucle-curve-sofa,Boucle Curve Sofa,<p>A softly curved sofa upholstered in tactile ivory boucle.</p><p>W 224 × D 98 × H 78 cm</p>,OpenRoom,Sofa,"Sofa, Boucle, Ivory, Modern organic, Sculptural",TRUE,Title,Default Title,boucle-curve-sofa,continue,manual,2299.00,TRUE,TRUE,https://openroom-webmcp.pages.dev/demo/photo/products/boucle-curve-sofa.webp,Boucle Curve Sofa,active
walnut-frame-sofa,Walnut Frame Sofa,<p>Tailored cushions sit within an exposed walnut frame.</p><p>W 205 × D 88 × H 80 cm</p>,OpenRoom,Sofa,"Sofa, Walnut and wool, Oatmeal, Mid century, Walnut, Tailored",TRUE,Title,Default Title,walnut-frame-sofa,continue,manual,2099.00,TRUE,TRUE,https://openroom-webmcp.pages.dev/demo/photo/products/walnut-frame-sofa.webp,Walnut Frame Sofa,active
oat-linen-slipcover-sofa,Oat Linen Slipcover Sofa,"<p>Washed linen slipcovers fall loosely over a deep, feather-topped seat.</p><p>W 198 × D 94 × H 76 cm</p>",OpenRoom,Sofa,"Sofa, Linen and poplar, Oat, Modern organic, Linen, Slipcovered",TRUE,Title,Default Title,oat-linen-slipcover-sofa,continue,manual,1749.00,TRUE,TRUE,https://openroom-webmcp.pages.dev/demo/photo/products/oat-linen-slipcover-sofa.webp,Oat Linen Slipcover Sofa,active
cane-back-teak-sofa,Cane Back Teak Sofa,<p>A woven cane back lightens a slim teak frame on tapered legs.</p><p>W 192 × D 86 × H 78 cm</p>,OpenRoom,Sofa,"Sofa, Teak and cane, Clay, Mid century, Teak, Cane",TRUE,Title,Default Title,cane-back-teak-sofa,continue,manual,1999.00,TRUE,TRUE,https://openroom-webmcp.pages.dev/demo/photo/products/cane-back-teak-sofa.webp,Cane Back Teak Sofa,active
oak-frame-table,Oak Frame Table,<p>A low oak table with a softened architectural frame.</p><p>W 105 × D 55 × H 40 cm</p>,OpenRoom,Coffee table,"Coffee table, Oak, Light oak, Japandi",TRUE,Title,Default Title,oak-frame-table,continue,manual,169.00,TRUE,TRUE,https://openroom-webmcp.pages.dev/demo/photo/products/oak-frame-table.webp,Oak Frame Table,active
travertine-plinth-table,Travertine Plinth Table,<p>A quiet stone-led alternative for the centre of the room.</p><p>W 110 × D 60 × H 38 cm</p>,OpenRoom,Coffee table,"Coffee table, Travertine, Ivory, Modern organic, Warm minimal, Stone",TRUE,Title,Default Title,travertine-plinth-table,continue,manual,249.00,TRUE,TRUE,https://openroom-webmcp.pages.dev/demo/photo/products/travertine-plinth-table.webp,Travertine Plinth Table,active
walnut-nesting-table,Walnut Nesting Table,"<p>Two compact surfaces in a rich, warm timber finish.</p><p>W 95 × D 55 × H 42 cm</p>",OpenRoom,Coffee table,"Coffee table, Walnut, Mid century, Warm walnut",TRUE,Title,Default Title,walnut-nesting-table,continue,manual,219.00,TRUE,TRUE,https://openroom-webmcp.pages.dev/demo/photo/products/walnut-nesting-table.webp,Walnut Nesting Table,active
ash-plinth-table,Ash Plinth Table,"<p>A pale ash slab rests on two chamfered plinths, low and quiet.</p><p>W 100 × D 58 × H 36 cm</p>",OpenRoom,Coffee table,"Coffee table, Ash, Pale ash, Japandi, Plinth",TRUE,Title,Default Title,ash-plinth-table,continue,manual,189.00,TRUE,TRUE,https://openroom-webmcp.pages.dev/demo/photo/products/ash-plinth-table.webp,Ash Plinth Table,active
teak-oval-table,Teak Oval Table,<p>An oval teak top eases the walk around a tight seating group.</p><p>W 118 × D 64 × H 38 cm</p>,OpenRoom,Coffee table,"Coffee table, Teak, Mid century, Oval",TRUE,Title,Default Title,teak-oval-table,continue,manual,239.00,TRUE,TRUE,https://openroom-webmcp.pages.dev/demo/photo/products/teak-oval-table.webp,Teak Oval Table,active
woven-jute-rug,Woven Jute Rug,<p>A warm handwoven jute rug with a simple bound edge.</p><p>W 240 × D 170 × H 1.2 cm</p>,OpenRoom,Rug,"Rug, Jute, Natural tan, Japandi, Natural fiber, Handwoven",TRUE,Title,Default Title,woven-jute-rug,continue,manual,349.00,TRUE,TRUE,https://openroom-webmcp.pages.dev/demo/photo/products/woven-jute-rug.webp,Woven Jute Rug,active
wool-pebble-rug,Wool Pebble Rug,<p>A plush wool rug shaped with a softly irregular pebble edge.</p><p>W 230 × D 180 × H 2 cm</p>,OpenRoom,Rug,"Rug, Wool, Warm ivory, Modern organic, Irregular, Plush",TRUE,Title,Default Title,wool-pebble-rug,continue,manual,529.00,TRUE,TRUE,https://openroom-webmcp.pages.dev/demo/photo/products/wool-pebble-rug.webp,Wool Pebble Rug,active
geometric-flatweave-rug,Geometric Flatweave Rug,<p>Angular rust and mustard forms animate a slim flatweave rug.</p><p>W 240 × D 170 × H 1 cm</p>,OpenRoom,Rug,"Rug, Wool and cotton, Rust multicolor, Mid century, Geometric, Flatweave",TRUE,Title,Default Title,geometric-flatweave-rug,continue,manual,429.00,TRUE,TRUE,https://openroom-webmcp.pages.dev/demo/photo/products/geometric-flatweave-rug.webp,Geometric Flatweave Rug,active
undyed-wool-shag-rug,Undyed Wool Shag Rug,<p>A deep undyed pile that softens footfall and warms a bare floor.</p><p>W 250 × D 180 × H 2.5 cm</p>,OpenRoom,Rug,"Rug, Wool, Chalk, Modern organic, Undyed, High pile",TRUE,Title,Default Title,undyed-wool-shag-rug,continue,manual,589.00,TRUE,TRUE,https://openroom-webmcp.pages.dev/demo/photo/products/undyed-wool-shag-rug.webp,Undyed Wool Shag Rug,active
charcoal-border-rug,Charcoal Border Rug,<p>A narrow charcoal border frames a hand-loomed field of soft grey.</p><p>W 240 × D 170 × H 1.4 cm</p>,OpenRoom,Rug,"Rug, Wool and linen, Soft grey, Japandi, Hand loomed, Bordered",TRUE,Title,Default Title,charcoal-border-rug,continue,manual,469.00,TRUE,TRUE,https://openroom-webmcp.pages.dev/demo/photo/products/charcoal-border-rug.webp,Charcoal Border Rug,active
rice-paper-floor-lamp,Rice Paper Floor Lamp,<p>A tall paper lantern casts a gentle glow from an ash frame.</p><p>W 36 × D 36 × H 158 cm</p>,OpenRoom,Floor lamp,"Floor lamp, Rice paper and ash, Natural white, Japandi, Paper, Soft light",TRUE,Title,Default Title,rice-paper-floor-lamp,continue,manual,289.00,TRUE,TRUE,https://openroom-webmcp.pages.dev/demo/photo/products/rice-paper-floor-lamp.webp,Rice Paper Floor Lamp,active
linen-dome-lamp,Linen Dome Lamp,<p>A broad linen dome balances a softly sculpted plaster stem.</p><p>W 58 × D 58 × H 154 cm</p>,OpenRoom,Floor lamp,"Floor lamp, Linen and plaster, Warm ivory, Modern organic, Linen, Sculptural",TRUE,Title,Default Title,linen-dome-lamp,continue,manual,349.00,TRUE,TRUE,https://openroom-webmcp.pages.dev/demo/photo/products/linen-dome-lamp.webp,Linen Dome Lamp,active
brass-globe-lamp,Brass Globe Lamp,<p>An opal globe tops a precise aged-brass stem and base.</p><p>W 34 × D 34 × H 162 cm</p>,OpenRoom,Floor lamp,"Floor lamp, Brass and glass, Aged brass, Mid century, Brass, Opal glass",TRUE,Title,Default Title,brass-globe-lamp,continue,manual,319.00,TRUE,TRUE,https://openroom-webmcp.pages.dev/demo/photo/products/brass-globe-lamp.webp,Brass Globe Lamp,active
oak-tripod-lamp,Oak Tripod Lamp,<p>Three splayed oak legs carry a narrow linen shade at reading height.</p><p>W 46 × D 46 × H 150 cm</p>,OpenRoom,Floor lamp,"Floor lamp, Oak and linen, Light oak, Japandi, Tripod",TRUE,Title,Default Title,oak-tripod-lamp,continue,manual,269.00,TRUE,TRUE,https://openroom-webmcp.pages.dev/demo/photo/products/oak-tripod-lamp.webp,Oak Tripod Lamp,active
ceramic-column-lamp,Ceramic Column Lamp,<p>A hand-thrown ceramic column grounds a wide cotton drum shade.</p><p>W 40 × D 40 × H 158 cm</p>,OpenRoom,Floor lamp,"Floor lamp, Ceramic and cotton, Chalk, Modern organic, Ceramic, Matte glaze",TRUE,Title,Default Title,ceramic-column-lamp,continue,manual,329.00,TRUE,TRUE,https://openroom-webmcp.pages.dev/demo/photo/products/ceramic-column-lamp.webp,Ceramic Column Lamp,active
linen-drum-table-lamp,Linen Drum Table Lamp,"<p>A short oak stem under a straight linen drum, sized for a table.</p><p>W 28 × D 28 × H 46 cm</p>",OpenRoom,Floor lamp,"Floor lamp, Linen and oak, Natural flax, Japandi, Linen, Table height",TRUE,Title,Default Title,linen-drum-table-lamp,continue,manual,89.00,TRUE,TRUE,https://openroom-webmcp.pages.dev/demo/photo/products/linen-drum-table-lamp.webp,Linen Drum Table Lamp,active
ceramic-gourd-table-lamp,Ceramic Gourd Table Lamp,<p>A rounded ceramic gourd base carries a soft cotton shade.</p><p>W 34 × D 34 × H 54 cm</p>,OpenRoom,Floor lamp,"Floor lamp, Ceramic and cotton, Chalk white, Modern organic, Ceramic, Table height",TRUE,Title,Default Title,ceramic-gourd-table-lamp,continue,manual,149.00,TRUE,TRUE,https://openroom-webmcp.pages.dev/demo/photo/products/ceramic-gourd-table-lamp.webp,Ceramic Gourd Table Lamp,active
brass-stem-table-lamp,Brass Stem Table Lamp,<p>A slim aged-brass stem lifts an opal shade to reading height.</p><p>W 30 × D 30 × H 58 cm</p>,OpenRoom,Floor lamp,"Floor lamp, Brass and opal glass, Aged brass, Mid century, Brass, Table height",TRUE,Title,Default Title,brass-stem-table-lamp,continue,manual,189.00,TRUE,TRUE,https://openroom-webmcp.pages.dev/demo/photo/products/brass-stem-table-lamp.webp,Brass Stem Table Lamp,active
ash-lounge-chair,Ash Lounge Chair,<p>Sculpted ash arms frame a restrained woven lounge cushion.</p><p>W 74 × D 82 × H 76 cm</p>,OpenRoom,Chair,"Chair, Ash and wool, Oatmeal, Japandi, Ash, Woven",TRUE,Title,Default Title,ash-lounge-chair,continue,manual,799.00,TRUE,TRUE,https://openroom-webmcp.pages.dev/demo/photo/products/ash-lounge-chair.webp,Ash Lounge Chair,active
